Pallet: "pallet_sudo", Extrinsic: "sudo", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
3565138,61000,7000,1,4,0,2
3565138,59000,7000,1,4,0,2
3669995,49000,7000,1,4,0,2
3669995,67000,7000,1,4,0,2
3669995,55000,6000,1,4,0,2
3669995,49000,5000,1,4,0,2
3669995,47000,5000,1,4,0,2
3669995,52000,6000,1,4,0,2
3669995,54000,7000,1,4,0,2
3669995,57000,7000,1,4,0,2
3669995,69000,8000,1,4,0,2
3669995,53000,11000,1,4,0,2
3669995,53000,6000,1,4,0,2
3669995,55000,7000,1,4,0,2
3669995,53000,6000,1,4,0,2
3669995,47000,5000,1,4,0,2
3669995,47000,5000,1,4,0,2
3669995,47000,5000,1,4,0,2
3669995,53000,7000,1,4,0,2
3669995,42000,4000,1,4,0,2
3669995,51000,6000,1,4,0,2
3669995,46000,5000,1,4,0,2
3774852,53000,6000,1,4,0,2
3774852,53000,6000,1,4,0,2
3774852,53000,6000,1,4,0,2
3774852,46000,5000,1,4,0,2
3774852,57000,7000,1,4,0,2
3774852,56000,6000,1,4,0,2
3774852,54000,7000,1,4,0,2
3774852,58000,7000,1,4,0,2
3774852,54000,7000,1,4,0,2
3774852,54000,7000,1,4,0,2
3774852,58000,8000,1,4,0,2
3774852,57000,6000,1,4,0,2
3774852,54000,6000,1,4,0,2
3774852,49000,5000,1,4,0,2
3774852,55000,7000,1,4,0,2
3774852,48000,5000,1,4,0,2
3774852,52000,7000,1,4,0,2
3774852,55000,6000,1,4,0,2
3774852,53000,6000,1,4,0,2
3774852,50000,6000,1,4,0,2
3879709,55000,7000,1,4,0,2
3879709,48000,5000,1,4,0,2
3879709,72000,7000,1,4,0,2
3879709,56000,7000,1,4,0,2
3879709,59000,9000,1,4,0,2
3879709,52000,6000,1,4,0,2
3879709,52000,7000,1,4,0,2
3879709,48000,5000,1,4,0,2
3879709,48000,5000,1,4,0,2
3879709,58000,6000,1,4,0,2
3879709,54000,6000,1,4,0,2
3879709,47000,5000,1,4,0,2
3879709,52000,7000,1,4,0,2
